payer_name,beneficiary_name,date,purpose,amount_orig_currency,amount_orig,amount_usd,amount_eur,investigation
METASTAR INVEST LLP,HEYER Medical AG,2012-07-17,1207175026765358 INV. 564700 DD 10/07/2012,EUR,-14968,18901,14968,az
METASTAR INVEST LLP,ORBI GROUP LTD,2012-07-17,1207175026637202 INV.09 DD 06.07.2012,USD,-11000,11000,8711.35,az
METASTAR INVEST LLP,FASEPHARMATEK S.R.L,2012-07-17,1207175022831674 INVOICE N 01/2012 DD 22/05/2012,EUR,-9500,11996,9500,az
METASTAR INVEST LLP,CHRISTEL HEILMANN GMBH&CO.KG,2012-07-17,1207175026764514 CONTRACT N 03 DD 22.05.2012 FOR TEXTIL,EUR,-7500,9471,7500,az
METASTAR INVEST LLP,IVANOVS LAW COMPANY LLC,2012-07-17,1207175025203918 LEGAL SERVICES,USD,-3400,3400,2692.6,az
METASTAR INVEST LLP,DORNIER MEDTECH EUROPE GMBH,2012-07-17,1207175025739310 INVOICE N 20120613AZ_tc DD 16/07/2012,EUR,-2265,2861,2265,az
LOTA SALES LLP,METASTAR INVEST LLP,2012-07-17,1207175025880114 DOGOVOR ZAYMA,USD,1455,1455,1152.27,az
DANSKE BANK A/S EESTI FILIAAL,METASTAR INVEST LLP,2012-07-17,1207175027831530 TRAFALGAR ASSETS GROUP CORP/INOICE01.12 -CART.TRAF DATE 11.07.2012/INMAXO CAPITAL CORP 333455870 002,USD,1500,1500,1187.91,az
JETFIELD NETWORKS LIMITED,METASTAR INVEST LLP,2012-07-17,INV.333 DD 30.06.2012,EUR,103190,130301,103190,az
MOBILA LLP,METASTAR INVEST LLP,2012-07-17,1207175021447386 INVOICE.No 69 DD 13.07.2012,USD,250000,250000,197985.25,az
DANSKE BANK A/S EESTI FILIAAL,METASTAR INVEST LLP,2012-07-17,JSC ROSOBORONEXPORT/PMNT UNDER SUPPL.AGR.N 14 DD110624 T O AGR.N 30017 DD090317 AND SUPPL.AGR.DD110701 HERETO/INM AXO CAPITAL CORP. 333455870002,EUR,499918,631257,499918,az
METASTAR INVEST LLP,LONGVALE ORGANIZATION CORP,2012-07-18,INVOICE 01 DD 01.07.2012,EUR,-375112,473662,375112,az
METASTAR INVEST LLP,JETFIELD NETWORKS LIMITED,2012-07-18,1207185021627256 invoice 888 dd 09.06.2012,USD,-257000,257000,203528.84,az
METASTAR INVEST LLP,DR.JOACHIM SCHERVIER UND DR.HENNING,2012-07-18,1207185026199736 INVOICE DD 25.06.2012 JAHANGIROV RO VSC HAN KAUF WOHNUNG AM STADPARK 32,EUR,-2e+05,252545,2e+05,az
METASTAR INVEST LLP,JETFIELD NETWORKS LIMITED,2012-07-18,invoice 888 dd 09.06.2012,EUR,-152830,192982,152830,az
METASTAR INVEST LLP,ELEATEX TRADING S.L.,2012-07-18,1207185028063336 INVOICE 666 DD 06.06.2012,USD,-68500,68500,54247.96,az
METASTAR INVEST LLP,IMEX MOTORS L.L.C.,2012-07-18,1207185027056916 INVOICE 200 DD 01.07.2012,USD,-66317,66317,52519.15,az
METASTAR INVEST LLP,MUROVA SYSTEMS LLP,2012-07-18,1207185022958560 INVOICE 03 DD 17.07.2012,USD,-50000,50000,39597.05,az
METASTAR INVEST LLP,INFOCREST LLP,2012-07-18,1207185023210416 DOGOVOR ZAYMA,USD,-40000,40000,31677.64,az
METASTAR INVEST LLP,JETFIELD NETWORKS LIMITED,2012-07-18,1207185025915088 invoice 888 dd 09.06.2012,USD,-29775,29775,23580.04,az
METASTAR INVEST LLP,MUROVA SYSTEMS LLP,2012-07-18,1207185026974920 INVOICE 03 DD 17.07.2012,USD,-19197,19197,15202.89,az
METASTAR INVEST LLP,ELEATEX TRADING S.L.,2012-07-18,1207185026214104 INVOICE 666 DD 06.06.2012,USD,-16000,16000,12671.06,az
METASTAR INVEST LLP,WILLROCK UNITED LLP,2012-07-18,1207185022899232 INVOICE 044 DD 17.07.2012,USD,-13000,13000,10295.23,az
METASTAR INVEST LLP,MUROVA SYSTEMS LLP,2012-07-18,INVOICE 03 DD 17.07.2012,EUR,-10000,12628,10000,az
METASTAR INVEST LLP,LINSTAR SYSTEMS CORP.,2012-07-18,1207185027025808 INVOICE 01 DD 01.05.12,USD,-10000,10000,7919.41,az
MUROVA SYSTEMS LLP,METASTAR INVEST LLP,2012-07-18,1207185020229020 CONTRACT 02 DD 18.07.2012,USD,50000,50000,39597.05,az
JETFIELD NETWORKS LIMITED,METASTAR INVEST LLP,2012-07-18,INV.333 DD 30.06.2012,EUR,113265,143023,113265,az
MOBILA LLP,METASTAR INVEST LLP,2012-07-18,1207185024210648 INVOICE.No 69 DD 13.07.2012,USD,170000,170000,134629.97,az
MOBILA LLP,METASTAR INVEST LLP,2012-07-18,1207185027359926 INVOICE.No 69 DD 13.07.2012,USD,330000,330000,261340.53,az
DANSKE BANK A/S EESTI FILIAAL,METASTAR INVEST LLP,2012-07-18,JSC ROSOBORONEXPORT/PMT UNDER SUPPL.AGR.N 14 DD110624 TO AGR.N 30018 DD090317 AND SUPPL.AGR.DD110701 HERETO./INM AXO CAPITAL CORP. 333455870002,EUR,499918.24,631257,499918.24,az
METASTAR INVEST LLP,VELASCO INTERNATIONAL INC.,2012-07-19,1207195026338488 INVOICE 943 DD 07.07.2012,EUR,-356774,450506,356774,az
METASTAR INVEST LLP,ELEATEX TRADING S.L.,2012-07-19,1207195022953944 INVOICE 666 DD 06.06.2012,USD,-128470,128470,101740.66,az
METASTAR INVEST LLP,LOTA SALES LLP,2012-07-19,1207195024409260 DOGOVOR ZAYMA,USD,-50035,50035,39624.77,az
METASTAR INVEST LLP,WILLROCK UNITED LLP,2012-07-19,1207195027098516 INVOICE 044 DD 17.07.2012,USD,-50000,50000,39597.05,az
METASTAR INVEST LLP,MOBILA LLP,2012-07-19,1207195023853404 DOGOVOR ZAYMA,USD,-48000,48000,38013.17,az
METASTAR INVEST LLP,UGUR SOGUTMA MAKINALARI TEKSTIL,2012-07-19,1207195028108872 PAYMENT DETAILS PIPRF 1432,EUR,-29694,37496,29694,az
METASTAR INVEST LLP,BETA CONSULT CORP,2012-07-19,1207195022835076 INVOCE B190712/9 DD 7/19/12 DUE DD 7/26 /12 RIVERLANE LLP,USD,-2800,2800,2217.43,az
DEUTDEFFXXX,METASTAR INVEST LLP,2012-07-19,"1207185100280220 RTN 1207135025890645/7033/ 132,795.00 E UR/345587 INMAXO  CAPITAL CORP.",EUR,132789,167676,132789,az
BONINVEST LLP,METASTAR INVEST LLP,2012-07-19,1207195027919704 INVOICE.No 5548 DD 25.05.2012,USD,140000,140000,110871.74,az
OVERTON SALES LLP,METASTAR INVEST LLP,2012-07-19,1207195026243432 INVOICE NO 034/4 MIL/3902 DD 03-07-2012,USD,360000,360000,285098.76,az
JETFIELD NETWORKS LIMITED,METASTAR INVEST LLP,2012-07-19,INV.333 DD 30.06.2012,EUR,1140071,1439591,1140071,az
METASTAR INVEST LLP,INFOCREST LLP,2012-07-20,INVOICE 54 DD 19.07.2012,EUR,-630400,796019,630400,az
METASTAR INVEST LLP,WILLROCK UNITED LLP,2012-07-20,1207205026735382 INVOICE 044 DD 17.07.2012,USD,-472712,472712,374360.01,az
METASTAR INVEST LLP,LONGVALE ORGANIZATION CORP,2012-07-20,1207205023907794 INVOICE 20 DD 19.06.2012,USD,-378113,378113,299443.19,az
METASTAR INVEST LLP,VELASCO INTERNATIONAL INC.,2012-07-20,1207205024017698 INVOICE 56 DD 17.07.2012,USD,-346118,346118,274105.04,az
METASTAR INVEST LLP,MOBILA LLP,2012-07-20,1207205024772262 DOGOVOR ZAYMA,USD,-251500,251500,199173.16,az
METASTAR INVEST LLP,LOTA SALES LLP,2012-07-20,1207205026448586 DOGOVOR ZAYMA,USD,-1e+05,100000,79194.1,az
METASTAR INVEST LLP,VOXGOLD BUSINESS AG,2012-07-20,1207205023160042 for goods,USD,-50000,50000,39597.05,az
METASTAR INVEST LLP,WILLROCK UNITED LLP,2012-07-20,INVOICE 044 DD 17.07.2012,EUR,-30000,37882,30000,az
METASTAR INVEST LLP,ELEATEX TRADING S.L.,2012-07-20,1207205020997478 INVOICE 666 DD 06.06.2012,USD,-11000,11000,8711.35,az
METASTAR INVEST LLP,LOTA SALES LLP,2012-07-20,1207205020570618 DOGOVOR ZAYMA,USD,-10000,10000,7919.41,az
METASTAR INVEST LLP,TETRA CHEMICALS EUROPE AB,2012-07-20,1207205027263434 INVOICE N 201207019 DD 2012-07-19,EUR,-7665,9679,7665,az
METASTAR INVEST LLP,MEHRIBAN AFANDIYEVA,2012-07-20,1207205026655382 INVOICE 654 DD 02 DD 07.07.2012 ABA 111 000614,USD,-1340,1340,1061.2,az
MOBILA LLP,METASTAR INVEST LLP,2012-07-20,1207205026790514 INVOICE.No 69 DD 13.07.2012,USD,101000,101000,79986.04,az
SOLIDSTAR WORLDWIDE LLP,METASTAR INVEST LLP,2012-07-20,1207205024773894 INVOICE 022 DD 18.07.2012,USD,473100,473100,374667.29,az
DANSKE BANK A/S EESTI FILIAAL,METASTAR INVEST LLP,2012-07-20,JSC ROSOBORONEXPORT/PMT UNDER SUPPLEMENTARY AGR.N14 DD11 0624 TO AGR N 30018 DD 090317 AND SUPPLEMENTARY AGR DD 1 10701 HERETO/INMAXO CAPITAL CORP 333455870002,EUR,499918.59,631258,499918.59,az
SOLIDSTAR WORLDWIDE LLP,METASTAR INVEST LLP,2012-07-20,1207205021602538 INVOICE 022 DD 18.07.2012,USD,968400,968400,766915.66,az
METASTAR INVEST LLP,OJSC ARCELORMITTAL KRYVIY RIH,2012-07-23,1207235024886504 CINTRACT N33Z-2012 DD 05.01.2012 FO R M ETAL,USD,-1186685,1186685,939784.51,az
METASTAR INVEST LLP,OJSC ARCELORMITTAL KRYVIY RIH,2012-07-23,1207235025937624 CINTRACT N33Z-2012 DD 05.01.2012 FO R M ETAL,USD,-908000,908000,719082.43,az
METASTAR INVEST LLP,OMEGA GMBH,2012-07-23,1207235025337132 INVOICE MOH-1/0712 DD 23.07.12,EUR,-6e+05,757633,6e+05,az
METASTAR INVEST LLP,CROSSLINE HOLDING LIMITED,2012-07-23,1207235023475840 INVOICE 22 DD 22.07.2012,EUR,-337425,426074,337425,az
METASTAR INVEST LLP,ELEATEX TRADING S.L.,2012-07-23,INVOICE 666 DD 06.06.2012,EUR,-185000,233604,185000,az
METASTAR INVEST LLP,IMMERGAS S.P.A,2012-07-23,"1207235025431192 INVOICE 53,58 DD 16.04.2012 FOR HEA T B OILERS + EQUIPMENTS",EUR,-130090.3,164268,130090.3,az
METASTAR INVEST LLP,KAYALAR KIMYA SANAYI VE TICARET,2012-07-23,1207235027123360 INVOICE 54 DD 09/07/2012,USD,-1e+05,100000,79194.1,az
METASTAR INVEST LLP,ROBELLO THERMAL TECHNOLOGY,2012-07-23,"1207235022042712 INVOICE 11N1201 DECEMBER,1ST.2011",USD,-88463,88463,70057.48,az
METASTAR INVEST LLP,LOTA SALES LLP,2012-07-23,1207235027638296 DOGOVOR ZAYMA,USD,-50000,50000,39597.05,az
METASTAR INVEST LLP,LOTA SALES LLP,2012-07-23,1207235027678424 DOGOVOR ZAYMA,USD,-50000,50000,39597.05,az
METASTAR INVEST LLP,RIDVAN COSKUN,2012-07-23,1207235022734752 INVOICE 01 DD 20.07.2012,USD,-30000,30000,23758.23,az
METASTAR INVEST LLP,MOBILA LLP,2012-07-23,1207235025061456 DOGOVOR ZAYMA,USD,-18054,18054,14297.7,az
METASTAR INVEST LLP,MUROVA SYSTEMS LLP,2012-07-23,INVOICE 03 DD 17.07.2012,EUR,-11000,13890,11000,az
METASTAR INVEST LLP,EMMA SRL,2012-07-23,1207235023155048 CONTRACT N 01 DD 08.11.2007 FOR TEX TIL,EUR,-9200,11618,9200,az
METASTAR INVEST LLP,CO.GE.FIN SRL,2012-07-23,"1207235027925560 INVOICE 2557,242,243 DD 19.03.12 FO R R ADIATORS FROM EUROCLIMA",EUR,-8599.95,10860,8599.95,az
METASTAR INVEST LLP,SAH INN PARADISE HOTEL,2012-07-23,"1207235028320576 IVOICE FIKRAT ALLAHVERDIYEV 1 FAMIL Y R OOM,4 ADULTS,1CHILDREN 4 SEPTEMB ER-11 SEPTEMBER 7 NIGHT S DD 19.07.2 011",EUR,-2825,3568,2825,az
MUROVA SYSTEMS LLP,METASTAR INVEST LLP,2012-07-23,1207235023594920 CONTRACT 02 DD 18.07.2012,USD,10000,10000,7919.41,az
MOBILA LLP,METASTAR INVEST LLP,2012-07-23,1207235022948784 INVOICE.No 69 DD 13.07.2012,USD,3e+05,300000,237582.3,az
DANSKE BANK A/S EESTI FILIAAL,METASTAR INVEST LLP,2012-07-23,JSC ROSOBORONEXPORT/PMT UNDER SUPPL.AGR.N 14 DD110624 TO AGR.N 30018 DD090317 AND SUPPL.AGR.DD110701 HERETO./INM AXO CAPITAL CORP 333455870002,EUR,499918.63,631258,499918.63,az
MUROVA SYSTEMS LLP,METASTAR INVEST LLP,2012-07-23,1207235026337052 CONTRACT 02 DD 18.07.2012,USD,1252532,1252532,991931.44,az
SOVER DEVELOPMENT LLP,METASTAR INVEST LLP,2012-07-23,1207235028151656 PAYMENT UNDER CONTRACT N C-0912 DD ON 2 3.07.12,USD,1600000,1600000,1267105.6,az
METASTAR INVEST LLP,INN5905281886,2012-07-24,1207245025877766 (VO10080) CONTRACT 2 DD 17.05.2012 QART AL BEZ NDS BEZ NDS,RUB,-1222845,37474,29676.99,az
METASTAR INVEST LLP,POLARIS MEDIKAL MALZ LTD STI,2012-07-24,1207245027314034 INVOICE MOH-2/0712 DD 24.07.2012,EUR,-6e+05,757633,6e+05,az
METASTAR INVEST LLP,JETFIELD NETWORKS LIMITED,2012-07-24,invoice 888 dd 09.06.2012,EUR,-161645,204113,161645,az
METASTAR INVEST LLP,MOBILA LLP,2012-07-24,1207245021739382 DOGOVOR ZAYMA,USD,-74300,74300,58841.22,az
METASTAR INVEST LLP,FABI SPA,2012-07-24,1207245026431150 INVOICE 744 DD 22.07.2012,EUR,-50000,63137,50000,az
METASTAR INVEST LLP,INTERMIK SP.ZO.O.,2012-07-24,1207245026334994 CONTRACT AZ-02/2011 DD 29.07.2011 F OR EQUIPMENT,EUR,-31350,39587,31350,az
METASTAR INVEST LLP,JETFIELD NETWORKS LIMITED,2012-07-24,1207245020252962 invoice 888 dd 09.06.2012,USD,-26300,26300,20828.05,az
METASTAR INVEST LLP,AMERIKAN HASTANESI,2012-07-24,1207245020497946 INVOICE 844 DD 21.07.2012,USD,-13865,13865,10980.26,az
METASTAR INVEST LLP,ZEYNAB KHANLAROVA FOUNDATION,2012-07-24,1207245026110786 ROUNTING N 021000021,USD,-10000,10000,7919.41,az
METASTAR INVEST LLP,FOCUS BUSINESS SERVICES (CYPRUS)LTD,2012-07-24,1207245028243086 ON BEHALF OF ANASTASIYA RUKAS.,USD,-2100,2100,1663.08,az
METASTAR INVEST LLP,MR.FARID KAZIMOV,2012-07-24,1207245025755058 INVOICE 10 DD 01.06.2012,GBP,-1500,2348,1859.27,az
MOBILA LLP,METASTAR INVEST LLP,2012-07-24,1207245022972378 INVOICE.No 69 DD 13.07.2012,USD,15000,15000,11879.12,az
JETFIELD NETWORKS LIMITED,METASTAR INVEST LLP,2012-07-24,INV.333 DD 30.06.2012,EUR,39814,50274,39814,az
BKCHCNBJ,METASTAR INVEST LLP,2012-07-24,1207245104516412  345587 INMAXO CAPITAL CORP./RTN P/O 12 07055022671163/USD 50000./INVALID PURPOSE OF PMNT,USD,49962.5,49963,39567.35,az
DANSKE BANK A/S EESTI FILIAAL,METASTAR INVEST LLP,2012-07-24,JSC ROSOBORONEXPORT/PMT UNDER SUPPL.AGR.N 14 DD110624 TO AGR.N 30018 DD090317 AND SUPPL.AGR. DD110701 HERETO. IN MAXO CAPITAL CORP. 333455870002,EUR,499918.43,631258,499918.43,az
SOVER DEVELOPMENT LLP,METASTAR INVEST LLP,2012-07-24,1207245023178386 PAYMENT UNDER CONTRACT N C-0912 DD ON 2 3.07.12,USD,1e+06,1000000,791941,az
METASTAR INVEST LLP,LONGVALE ORGANIZATION CORP,2012-07-25,INVOICE 20 DD 19.06.2012,EUR,-369437,466496,369437,az
METASTAR INVEST LLP,VELASCO INTERNATIONAL INC.,2012-07-25,1207255024780062 INVOICE 943 DD 07.07.2012,EUR,-362933,458283,362933,az
METASTAR INVEST LLP,LINSTAR SYSTEMS CORP.,2012-07-25,1207255021741746 INVOICE 01 DD 01.05.12,USD,-70000,70000,55435.87,az
METASTAR INVEST LLP,DOMUSA CALEFACCION S.COOP,2012-07-25,1207255025119106 INVOICE P/030712 DATE 03.07.2012 FO R H EAT BOILERS FROM EUROCLIMA,EUR,-54290,68554,54290,az
METASTAR INVEST LLP,ORGANIK KIMYA SANEYE TIC.AS,2012-07-25,1207255026341602 INVOICE 765 DD 21.07.2012,USD,-32170.5,32171,25477.14,az
METASTAR INVEST LLP,NEVZAT EMRAH SENGUL,2012-07-25,1207255026313538 INVOICE 453 DD 22.07.2012,USD,-20000,20000,15838.82,az
METASTAR INVEST LLP,C-VELT STEEL+ALUMINUM LIMITED,2012-07-25,1207255026200594 INVOICE CV20120403 DD 05.04.2012 EN ILI K,USD,-15005.5,15006,11883.47,az
METASTAR INVEST LLP,EFEKIM KIMYA SAN.TIC.LTD.STI.,2012-07-25,1207255025682354 INVOICE 654 DD 23.07.2012,USD,-14850,14850,11760.32,az
METASTAR INVEST LLP,REN PLASTIK SANAYI VE TICARET LTD.,2012-07-25,1207255023388114 INVOICE 91 DD 23.072012,USD,-10000,10000,7919.41,az
METASTAR INVEST LLP,BUNSE AUFZUGE GMBH,2012-07-25,1207255024937330 INVOICE 26.06.2012,EUR,-9550.63,12060,9550.63,az
METASTAR INVEST LLP,OASIS EAST SP.Z.O.O,2012-07-25,1207255025088154 INVOICE R55565536336,EUR,-3380,4268,3380,az
METASTAR INVEST LLP,PRIMARY CONSULTING PTE.LTD,2012-07-25,1207255026879570 INVOICE N 1304454/2012 DD 23.07.2012 DU E DD 06.08.2012 ALYANS KOPPER,USD,-2460,2460,1948.17,az
METASTAR INVEST LLP,KONURAY KIMYA SAN.VE TIC.LTD.STI.,2012-07-25,1207255025976594 INVOICE 90 DD 22.07.2012,EUR,-2328,2940,2328,az
LOTA SALES LLP,METASTAR INVEST LLP,2012-07-25,1207255025488414 DOGOVOR ZAYMA,USD,30000,30000,23758.23,az
MOBILA LLP,METASTAR INVEST LLP,2012-07-25,1207255023345098 INVOICE.No 69 DD 13.07.2012,USD,263654,263654,208798.41,az
DANSKE BANK A/S EESTI FILIAAL,METASTAR INVEST LLP,2012-07-25,JSC ROSOBORONEXPORT/PMT UNDER SUPPL.AGR.N 14 DD 24.06.20 11 TO AGR N 30018 DD 17.03.2009 AND SUPPL AGR DD 01.07.2 011./INMAXO CAPOTAL CORP 333455870002,EUR,499917.33,631256,499917.33,az
METASTAR INVEST LLP,LOTA SALES LLP,2012-07-26,1207265020825696 DOGOVOR ZAYMA,USD,-70000,70000,55435.87,az
METASTAR INVEST LLP,LEHMANN PHARMA INTERNATIONAL GMBH,2012-07-26,1207265022092844 PAYMENT FOR EQUIPMENT INVOICE 11/10,EUR,-50700,64020,50700,az
METASTAR INVEST LLP,EGE KUR.KAMU FIN.VE TIC.MRKZ.SB.,2012-07-26,1207265020271628 AHMADOV ANAR SUBAR,USD,-37000,37000,29301.82,az
METASTAR INVEST LLP,LINSTAR SYSTEMS CORP.,2012-07-26,1207265022434032 INVOICE 01 DD 01.05.12,USD,-33000,33000,26134.05,az
METASTAR INVEST LLP,MOBILA LLP,2012-07-26,1207265027064636 DOGOVOR ZAYMA,USD,-25000,25000,19798.53,az
METASTAR INVEST LLP,DORMED MED.SYSTEME GMBH,2012-07-26,1207265022289932 INVOICE 32 DD 12.03.2012 ZA OBORUDOVANI YE,EUR,-10000,12628,10000,az
METASTAR INVEST LLP,TARAS AND K,2012-07-26,1207265026243700 CONTR 01/12 DD 24.05.2012. INV 01 D D 0 4.07.2012.,USD,-10000,10000,7919.41,az
METASTAR INVEST LLP,FAIG HASANOV,2012-07-26,1207265020052712 INVOICE 99 DD 28.05.2012,EUR,-1300,1642,1300,az
LOTA SALES LLP,METASTAR INVEST LLP,2012-07-26,1207265025848584 DOGOVOR ZAYMA,USD,70000,70000,55435.87,az
DANSKE BANK A/S EESTI FILIAAL,METASTAR INVEST LLP,2012-07-26,JSC ROSOBORONEXPORT/PMT UNDER SUPPL.AGR 14 DD24.06.2011 TO AGR 30018 DD 17.03.2009 AND SUPPL AGR DD 01.07.2011 H ERETO. INMAXO CAPITAL CORP 333455870002,EUR,499917.46,631256,499917.46,az
METASTAR INVEST LLP,MOBILA LLP,2012-07-27,DOGOVOR ZAYMA,EUR,-8e+05,1010177,8e+05,az
METASTAR INVEST LLP,MOBILA LLP,2012-07-27,1207275027558210 DOGOVOR ZAYMA,USD,-8e+05,800000,633552.8,az
METASTAR INVEST LLP,OMEGA GMBH,2012-07-27,1207275025288890 INVOICE MOH-3/0712 DD 27.07.12,EUR,-7e+05,883905,7e+05,az
METASTAR INVEST LLP,POLARIS MEDIKAL MALZ LTD STI,2012-07-27,1207275023884618 INVOICE MOH-4/0712 DD 27.07.2012,EUR,-5e+05,631361,5e+05,az
METASTAR INVEST LLP,INFOCREST LLP,2012-07-27,1207275025031738 Extraurgent,USD,-5e+05,500000,395970.5,az
METASTAR INVEST LLP,LONGVALE ORGANIZATION CORP,2012-07-27,1207275027842118 INVOICE 20 DD 19.06.2012,USD,-371825,371825,294463.46,az
METASTAR INVEST LLP,VELASCO INTERNATIONAL INC.,2012-07-27,1207275025742182 INVOICE 56 DD 17.07.2012,USD,-361947,361947,286640.67,az
METASTAR INVEST LLP,INTRAWAY ALLIANCE LLP,2012-07-27,1207275027408334 INVOICE 392 DD 01.06.2012,USD,-210000,210000,166307.61,az
METASTAR INVEST LLP,STYLEMAX COMPANY LLP,2012-07-27,INVOICE 01 DD 11.07.2012 FOR TEXTILE,EUR,-140000,176781,140000,az
METASTAR INVEST LLP,LINSTAR SYSTEMS CORP.,2012-07-27,1207275021776346 INVOICE 01 DD 01.05.12,USD,-90000,90000,71274.69,az
METASTAR INVEST LLP,STARPOOL S.R.L.,2012-07-27,1207275025101034 INVOICE 008 DD 11.05.2012,EUR,-14300,18057,14300,az
METASTAR INVEST LLP,EGEM AMBALAJ SAN.VE TIC.A.S.,2012-07-27,1207275026074094 INVOICE B 013737,EUR,-13365,16877,13365,az
METASTAR INVEST LLP,NEVZAT EMRAH SENGUL,2012-07-27,1207275025826122 INVOICE 453 DD 22.07.2012,USD,-7000,7000,5543.59,az
METASTAR INVEST LLP,INKA AMBALAJ SAN.VE INS.LTD.STI,2012-07-27,1207275025186910 INVOICE 12-0531/01,EUR,-3999.88,5051,3999.88,az
"ADANA INVESTMENT,LTD",METASTAR INVEST LLP,2012-07-27,1207275020441006 ZA METALL,USD,14000,14000,11087.17,az
